taz1454,job_count,da_15,da_30,da_45,walk_15,walk_30,walk_45,bike_15,bike_30,bike_45,wTrnW_15,wTrnW_30,wTrnW_45
1317.0,1715,2700.0,22203.0,140520.0,0,0.0,1715.0,1715.0,2700.0,2700.0,0,0,0.0
1318.0,916,2729.0,44139.0,202316.0,0,0.0,0.0,916.0,1815.0,6639.0,0,0,0.0
1319.0,914,8642.0,19184.0,230701.0,0,914.0,914.0,3406.0,7726.0,10506.0,0,0,0.0
1320.0,2152,9590.0,57719.0,255161.0,0,2152.0,2152.0,6827.0,9590.0,10506.0,0,0,0.0
1321.0,340,8642.0,33564.0,264734.0,0,340.0,340.0,1813.0,8642.0,10506.0,0,0,0.0
1322.0,559,10506.0,45797.0,281227.0,0,559.0,559.0,899.0,8642.0,15374.0,0,0,0.0
1323.0,3761,9590.0,67734.0,275081.0,0,3761.0,3761.0,5913.0,9590.0,10419.0,0,0,0.0
1324.0,1864,8336.0,88177.0,288563.0,0,0.0,1864.0,1864.0,7777.0,10419.0,0,0,0.0
1325.0,4868,17279.0,83165.0,313753.0,0,0.0,4868.0,4868.0,12271.0,20826.0,0,0,0.0
1326.0,231,10391.0,116352.0,266997.0,0,231.0,231.0,4244.0,10391.0,20267.0,0,0,0.0
1327.0,929,15399.0,117562.0,270959.0,0,929.0,5356.0,7651.0,15399.0,22061.0,0,0,0.0
1328.0,1794,1794.0,36791.0,200945.0,0,0.0,0.0,0.0,1794.0,15867.0,0,0,0.0
1329.0,1414,17747.0,120041.0,240608.0,0,0.0,1414.0,1414.0,15399.0,25422.0,0,0,0.0
1330.0,414,15399.0,127802.0,274182.0,0,414.0,7651.0,7651.0,15399.0,22061.0,0,0,0.0
1331.0,2295,20697.0,172986.0,369560.0,2295,6308.0,6814.0,8746.0,20267.0,22813.0,0,0,1095.0
1332.0,4013,22615.0,176126.0,376904.0,4013,6308.0,7743.0,8977.0,20267.0,22491.0,0,0,1095.0
1333.0,92,24064.0,189762.0,417414.0,92,345.0,6653.0,7403.0,20267.0,20267.0,0,0,7311.0
1334.0,253,22756.0,173900.0,376501.0,253,345.0,1095.0,7403.0,20267.0,20267.0,0,92,7150.0
1335.0,750,23264.0,174854.0,344997.0,0,750.0,1003.0,7403.0,20267.0,21019.0,0,0,6653.0
1336.0,5008,23310.0,146281.0,262873.0,0,0.0,5008.0,5008.0,15168.0,26283.0,0,0,0.0
1337.0,5252,19151.0,134351.0,217523.0,0,0.0,5252.0,5252.0,19151.0,46285.0,0,0,0.0
1338.0,430,32471.0,136685.0,240133.0,0,430.0,2489.0,3869.0,11874.0,36191.0,0,0,0.0
1339.0,322,18923.0,134312.0,228555.0,322,463.0,1488.0,3869.0,11874.0,32000.0,0,0,0.0
1340.0,595,12052.0,125749.0,216264.0,595,872.0,1843.0,3869.0,11874.0,37921.0,0,0,0.0
1341.0,353,2196.0,95083.0,198893.0,0,0.0,353.0,353.0,5874.0,16882.0,0,0,0.0
1342.0,277,29339.0,135404.0,218253.0,277,1380.0,1521.0,5521.0,11874.0,51067.0,0,0,508.0
1343.0,141,34238.0,136685.0,241471.0,141,971.0,3869.0,5521.0,11874.0,37921.0,0,0,0.0
1344.0,1596,68726.0,142093.0,244042.0,0,1596.0,2675.0,5521.0,18185.0,51080.0,0,0,7677.0
1345.0,508,52760.0,138308.0,241875.0,508,2578.0,4769.0,6269.0,11874.0,50115.0,0,0,2677.0
1346.0,1652,43399.0,133744.0,220094.0,1652,2160.0,2908.0,4922.0,15081.0,53415.0,0,0,748.0
1347.0,748,58261.0,135411.0,220094.0,0,748.0,2400.0,2908.0,29827.0,58470.0,0,0,0.0
1348.0,3029,53815.0,117967.0,189979.0,0,3029.0,4892.0,11995.0,48866.0,74600.0,0,0,10758.0
1349.0,1234,70602.0,125672.0,205356.0,1234,8788.0,11817.0,21475.0,61776.0,74655.0,0,7554,21342.0
1350.0,1305,41878.0,117723.0,172917.0,0,1305.0,1305.0,6681.0,26402.0,62981.0,0,0,0.0
1351.0,433,46143.0,118883.0,172917.0,0,433.0,6353.0,7891.0,36680.0,65585.0,0,4710,13474.0
1352.0,233,24373.0,115851.0,158706.0,0,233.0,233.0,1971.0,23376.0,56670.0,0,0,0.0
1353.0,1758,11004.0,105451.0,172319.0,0,0.0,1758.0,1758.0,4175.0,29255.0,0,0,0.0
1354.0,864,28035.0,102842.0,159906.0,0,864.0,864.0,1207.0,25723.0,52856.0,0,0,0.0
1355.0,215,37750.0,119464.0,166934.0,0,215.0,1374.0,2238.0,31365.0,56670.0,0,0,0.0
1356.0,1031,56522.0,120367.0,177695.0,0,1031.0,2456.0,7294.0,41397.0,65644.0,0,0,0.0
1357.0,128,46999.0,121251.0,177695.0,0,128.0,343.0,8158.0,37110.0,64837.0,0,0,0.0
1358.0,1210,57424.0,120598.0,177695.0,0,1210.0,7384.0,10619.0,46012.0,66392.0,0,4710,12264.0
1359.0,4710,61231.0,122519.0,192458.0,0,4710.0,16385.0,25954.0,61223.0,70425.0,0,8764,23615.0
1360.0,629,80584.0,127466.0,207220.0,7554,8788.0,23788.0,32471.0,62963.0,78918.0,6925,21769,36862.0
1361.0,6925,82020.0,125672.0,211998.0,7554,10627.0,27592.0,33657.0,63827.0,78918.0,629,22786,44063.0
1362.0,1390,75138.0,120804.0,196621.0,1390,9852.0,20613.0,29264.0,63079.0,72930.0,0,11633,32212.0
1363.0,3630,74144.0,120804.0,185816.0,3630,5167.0,18717.0,37241.0,57575.0,80109.0,0,9393,40863.0
1364.0,449,71728.0,120804.0,185816.0,449,12394.0,15903.0,26453.0,62215.0,80894.0,0,12574,44044.0
1365.0,1088,70480.0,120804.0,177695.0,1088,6108.0,18192.0,26429.0,55866.0,80109.0,0,0,5971.0
1366.0,2341,59741.0,117699.0,165070.0,0,2341.0,2341.0,5971.0,47367.0,77709.0,0,0,11004.0
1367.0,807,55841.0,115404.0,159157.0,0,807.0,807.0,3312.0,29468.0,64337.0,0,0,0.0
1368.0,8796,45246.0,103315.0,148937.0,0,0.0,8796.0,8796.0,13954.0,43661.0,0,0,0.0
1369.0,6844,68312.0,119888.0,167292.0,0,6844.0,9829.0,18065.0,48949.0,75951.0,0,0,13683.0
1370.0,954,54484.0,115666.0,154379.0,0,954.0,954.0,6335.0,43005.0,76083.0,0,0,158.0
1371.0,148,51632.0,117961.0,157326.0,148,306.0,9829.0,17785.0,49127.0,75087.0,0,0,7443.0
