,HHPER,HHPERTRIP,origin,origin_dwell,origin_ST,origin_ET,trip_ET,TT,MODE
3822,14588753,1458875301.0,home,17.083333333333336,14.666666666666666,7.75,7.916666666666667,0.16666666666666696,shared
3823,14588753,1458875311.0,school,6.666666666666667,7.916666666666667,14.583333333333334,14.666666666666666,0.08333333333333215,shared
3824,14589443,1458944301.0,home,16.583333333333336,15.283333333333333,7.866666666666667,7.933333333333334,0.06666666666666643,bike
3825,14589443,1458944311.0,school,7.266666666666666,7.933333333333334,15.2,15.283333333333333,0.08333333333333393,bike
3826,14589513,1458951301.0,home,19.75,22.25,18.0,18.75,0.75,drive_alone
3827,14589513,1458951311.0,school,2.75,18.75,21.5,22.25,0.75,drive_alone
3828,14589514,1458951401.0,home,16.5,15.0,7.5,7.75,0.25,shared
3829,14589514,1458951411.0,school,6.916666666666666,7.75,14.666666666666666,15.0,0.3333333333333339,shared
3830,14589515,1458951501.0,home,16.5,15.0,7.5,7.75,0.25,shared
3831,14589515,1458951511.0,school,6.916666666666666,7.75,14.666666666666666,15.0,0.3333333333333339,shared
3832,14591183,1459118301.0,home,17.333333333333336,15.0,8.333333333333334,8.5,0.16666666666666607,shared
3833,14591183,1459118311.0,school,6.333333333333334,8.5,14.833333333333334,15.0,0.16666666666666607,shared
3834,14594983,1459498301.0,home,12.25,18.75,7.0,7.5,0.5,shared
3835,14594983,1459498311.0,school,10.666666666666668,7.5,18.166666666666668,18.75,0.5833333333333321,shared
3836,14595212,1459521201.0,home,19.5,22.0,17.5,18.0,0.5,drive_alone
3837,14595212,1459521211.0,school,3.5,18.0,21.5,22.0,0.5,drive_alone
3838,14598101,1459810101.0,home,14.583333333333332,18.416666666666668,9.0,9.45,0.4499999999999993,drive_alone
3839,14598101,1459810111.0,school,2.8833333333333346,9.45,12.333333333333334,18.416666666666668,6.083333333333334,drive_alone
3840,14601673,1460167301.0,home,13.5,17.25,6.75,6.833333333333333,0.08333333333333304,shared
3841,14601673,1460167311.0,school,10.166666666666668,6.833333333333333,17.0,17.25,0.25,shared
3842,14607373,1460737301.0,home,14.5,17.0,7.5,7.916666666666667,0.41666666666666696,shared
3843,14607373,1460737311.0,school,8.666666666666664,7.916666666666667,16.583333333333332,17.0,0.41666666666666785,shared
3844,14611013,1461101301.0,home,15.5,16.25,7.75,8.25,0.5,shared
3845,14611013,1461101311.0,school,7.2666666666666675,8.25,15.516666666666667,16.25,0.7333333333333325,shared
3846,14611144,1461114401.0,home,14.75,16.75,7.5,7.916666666666667,0.41666666666666696,drive_alone
3847,14611144,1461114411.0,school,1.2499999999999991,7.916666666666667,9.166666666666666,16.75,7.583333333333334,drive_alone
3848,14614743,1461474301.0,home,15.0,16.5,7.5,7.75,0.25,shared
3849,14614743,1461474311.0,school,8.266666666666666,7.75,16.016666666666666,16.5,0.4833333333333343,shared
3850,14618134,1461813401.0,home,16.700000000000003,15.383333333333333,8.083333333333334,8.2,0.11666666666666536,shared
3851,14618134,1461813411.0,school,5.383333333333335,8.2,13.583333333333334,15.383333333333333,1.799999999999999,shared
3852,14618164,1461816401.0,home,16.5,15.75,8.25,9.583333333333334,1.333333333333334,shared
3853,14618164,1461816411.0,school,5.666666666666666,9.583333333333334,15.25,15.75,0.5,shared
3854,14620473,1462047301.0,home,15.333333333333334,17.0,8.333333333333334,8.416666666666666,0.08333333333333215,shared
3855,14620473,1462047311.0,school,6.483333333333334,8.416666666666666,14.9,17.0,2.0999999999999996,shared
3856,14621643,1462164301.0,home,21.166666666666668,16.833333333333332,14.0,14.833333333333334,0.8333333333333339,drive_alone
3857,14621643,1462164311.0,school,1.416666666666666,14.833333333333334,16.25,16.833333333333332,0.5833333333333321,drive_alone
3858,14621863,1462186301.0,home,15.833333333333334,15.666666666666666,7.5,7.75,0.25,shared
3859,14621863,1462186311.0,school,7.583333333333334,7.75,15.333333333333334,15.666666666666666,0.33333333333333215,shared
3860,14621864,1462186401.0,home,16.75,15.666666666666666,8.416666666666666,8.75,0.3333333333333339,shared
3861,14621864,1462186411.0,school,6.583333333333334,8.75,15.333333333333334,15.666666666666666,0.33333333333333215,shared
3862,14626003,1462600301.0,home,13.683333333333335,18.833333333333332,8.516666666666667,8.583333333333334,0.06666666666666643,shared
3863,14626003,1462600311.0,school,8.249999999999998,8.583333333333334,16.833333333333332,18.833333333333332,2.0,shared
3864,14631746,1463174601.0,home,15.666666666666666,15.583333333333334,7.25,7.916666666666667,0.666666666666667,walk
3865,14631746,1463174611.0,school,6.583333333333333,7.916666666666667,14.5,15.583333333333334,1.083333333333334,walk
3866,14631747,1463174701.0,home,15.666666666666666,15.583333333333334,7.25,7.916666666666667,0.666666666666667,walk
3867,14631747,1463174711.0,school,6.583333333333333,7.916666666666667,14.5,15.583333333333334,1.083333333333334,walk
